,Soil Moisture,Temperature, Soil Humidity,Air temperature (C),Air humidity (%),Pressure (KPa)
65,7.0,27.0,59.0,19.03,29.79,101.34
66,13.0,4.0,41.0,19.02,29.64,101.34
67,42.0,18.0,36.0,19.0,29.5,101.35
68,72.0,21.0,26.0,19.04,29.16,101.35
69,21.0,33.0,21.0,19.07,28.81,101.35
70,14.0,4.0,51.0,19.11,28.47,101.35
71,16.0,19.0,51.0,19.11,28.2,101.35
72,11.0,9.0,26.0,19.1,27.92,101.36
73,7.0,17.0,52.0,19.1,27.65,101.36
74,56.0,3.0,64.0,19.1,27.38,101.37
75,42.0,19.0,55.0,18.87,27.66,101.37
76,78.0,41.0,70.0,18.64,27.93,101.37
77,16.0,37.0,48.0,18.48,28.11,101.36
78,87.0,14.0,21.0,18.31,28.29,101.36
79,22.0,22.0,55.0,18.46,27.32,101.36
80,77.0,41.0,47.0,18.62,26.36,101.37
81,45.0,31.0,65.0,18.72,25.4,101.38
82,84.0,39.0,50.0,18.81,24.45,101.38
83,12.0,3.0,43.0,19.04,23.14,101.38
84,17.0,40.0,57.0,19.27,21.83,101.39
85,12.0,35.0,34.0,19.36,21.06,101.4
86,6.0,40.0,44.0,19.45,20.29,101.41
87,21.0,4.0,48.0,19.42,20.58,101.42
88,71.0,41.0,49.0,19.38,20.88,101.43
89,17.0,27.0,40.0,19.33,21.33,101.44
90,67.0,24.0,31.0,19.28,21.78,101.44
91,34.0,24.0,63.0,19.24,22.22,101.44
92,68.0,13.0,57.0,19.19,22.67,101.45
93,52.0,3.0,35.0,19.26,22.7,101.46
94,80.0,18.0,24.0,19.32,22.74,101.46
95,11.0,11.0,29.0,19.6,22.42,101.46
96,63.0,27.0,26.0,19.89,22.11,101.46
97,88.0,43.0,58.0,20.28,22.04,101.46
98,79.0,21.0,58.0,20.68,21.97,101.47
99,2.0,37.0,30.0,21.21,21.44,101.48
100,49.0,33.0,61.0,21.74,20.9,101.49
101,64.0,27.0,58.0,22.44,20.58,101.49
102,71.0,36.0,25.0,23.13,20.27,101.49
103,51.0,27.0,66.0,23.76,19.5,101.49
104,67.0,26.0,60.0,24.4,18.73,101.5
105,12.0,0.0,63.0,25.04,17.96,101.5
106,67.0,3.0,44.0,25.67,17.2,101.51
107,54.0,31.0,49.0,26.3,16.43,101.52
108,49.0,33.0,31.0,26.94,15.66,101.52
109,24.0,29.0,34.0,27.38,14.2,101.52
110,27.0,18.0,38.0,27.83,12.75,101.52
111,50.0,35.0,20.0,28.14,12.24,101.52
112,51.0,26.0,32.0,28.46,11.74,101.53
113,38.0,26.0,34.0,28.94,11.29,101.54
114,23.0,45.0,50.0,29.42,10.84,101.55
115,27.0,29.0,60.0,29.82,10.43,101.55
116,72.0,39.0,21.0,30.22,10.02,101.55
117,89.0,19.0,38.0,30.54,9.84,101.55
118,36.0,28.0,55.0,30.86,9.65,101.55
119,4.0,5.0,45.0,31.27,9.33,101.56
120,21.0,37.0,48.0,31.69,9.01,101.56
121,8.0,37.0,58.0,32.1,8.7,101.56
122,5.0,27.0,28.0,32.51,8.38,101.57
123,1.0,10.0,56.0,32.93,8.06,101.58
124,2.0,40.0,43.0,33.34,7.74,101.58
125,63.0,35.0,30.0,33.28,7.15,101.58
126,17.0,39.0,38.0,33.23,6.56,101.59
127,33.0,19.0,26.0,33.62,6.36,101.58
128,21.0,6.0,67.0,34.01,6.17,101.58
129,84.0,29.0,36.0,34.36,5.97,101.58
130,35.0,28.0,23.0,34.71,5.77,101.58
131,81.0,4.0,35.0,35.04,5.66,101.57
132,44.0,41.0,22.0,35.37,5.56,101.56
133,53.0,6.0,68.0,35.04,5.48,101.56
134,25.0,18.0,66.0,34.71,5.41,101.55
135,22.0,28.0,38.0,35.13,5.28,101.55
136,57.0,44.0,44.0,35.55,5.14,101.55
137,15.0,25.0,67.0,35.55,5.13,101.54
138,33.0,23.0,25.0,35.55,5.12,101.54
139,20.0,25.0,54.0,36.0,4.88,101.54
140,52.0,13.0,62.0,36.46,4.64,101.54
141,47.0,2.0,56.0,36.39,4.66,101.54
142,63.0,40.0,63.0,36.33,4.69,101.53
143,48.0,11.0,21.0,36.33,4.48,101.52
144,15.0,34.0,31.0,36.32,4.28,101.51
145,87.0,37.0,37.0,36.32,4.07,101.5
146,30.0,27.0,70.0,36.31,3.86,101.49
147,89.0,31.0,69.0,36.53,3.92,101.48
148,28.0,1.0,42.0,36.76,3.97,101.47
149,87.0,1.0,52.0,37.06,3.88,101.46
150,41.0,23.0,67.0,37.36,3.8,101.46
151,58.0,42.0,68.0,37.69,3.72,101.45
152,73.0,10.0,23.0,38.02,3.65,101.44
153,84.0,2.0,57.0,37.6,3.51,101.43
154,90.0,19.0,64.0,37.17,3.38,101.42
155,90.0,44.0,44.0,36.66,3.75,101.41
156,29.0,35.0,34.0,36.15,4.12,101.4
157,65.0,5.0,35.0,35.44,4.32,101.38
158,70.0,0.0,37.0,34.72,4.53,101.37
159,70.0,32.0,51.0,34.78,4.85,101.36
160,6.0,8.0,59.0,34.85,5.17,101.35
161,86.0,1.0,50.0,34.93,4.87,101.34
162,90.0,17.0,22.0,35.01,4.57,101.34
163,22.0,32.0,67.0,35.45,4.49,101.33
164,7.0,24.0,35.0,35.89,4.4,101.32
165,73.0,32.0,48.0,36.3,3.99,101.32
166,78.0,23.0,29.0,36.71,3.57,101.31
167,26.0,26.0,22.0,36.77,3.71,101.3
168,2.0,28.0,70.0,36.83,3.85,101.3
169,48.0,5.0,34.0,36.7,3.97,101.28
170,31.0,45.0,67.0,36.56,4.09,101.27
171,4.0,7.0,56.0,36.36,4.35,101.26
172,71.0,22.0,64.0,36.15,4.61,101.25
173,74.0,6.0,47.0,36.2,4.62,101.24
174,58.0,20.0,31.0,36.25,4.63,101.23
175,76.0,3.0,70.0,36.12,4.7,101.22
176,78.0,36.0,44.0,36.0,4.77,101.21
177,5.0,14.0,41.0,35.88,4.84,101.2
178,8.0,32.0,38.0,35.75,4.91,101.19
179,31.0,6.0,40.0,35.59,4.59,101.18
180,30.0,34.0,53.0,35.43,4.27,101.18
181,58.0,25.0,37.0,35.48,4.22,101.17
182,28.0,9.0,66.0,35.52,4.17,101.16
183,19.0,16.0,32.0,35.52,4.06,101.15
184,26.0,15.0,45.0,35.52,3.96,101.14
185,51.0,37.0,65.0,35.42,3.88,101.14
186,4.0,45.0,67.0,35.33,3.8,101.13
187,80.0,25.0,63.0,35.24,3.98,101.12
188,68.0,24.0,45.0,35.15,4.17,101.11
189,8.0,9.0,41.0,35.34,4.12,101.1
190,53.0,35.0,21.0,35.52,4.06,101.1
191,79.0,32.0,66.0,35.53,3.96,101.1
192,68.0,5.0,63.0,35.55,3.87,101.09
193,76.0,37.0,59.0,35.4,3.7,101.08
194,34.0,18.0,38.0,35.25,3.53,101.08
195,28.0,0.0,66.0,35.35,3.34,101.06
196,62.0,36.0,25.0,35.24,2.96,101.06
197,88.0,27.0,54.0,35.13,2.58,101.05
198,1.0,23.0,39.0,35.03,2.74,101.05
199,25.0,0.0,48.0,34.92,2.9,101.05
200,40.0,2.0,46.0,34.83,2.88,101.04
201,77.0,22.0,58.0,34.73,2.86,101.04
202,66.0,22.0,48.0,34.74,2.99,101.04
203,52.0,21.0,36.0,34.76,3.12,101.04
204,84.0,34.0,37.0,34.7,3.08,101.04
205,26.0,7.0,39.0,34.63,3.05,101.04
206,38.0,34.0,40.0,34.56,3.1,101.04
207,48.0,24.0,68.0,34.49,3.16,101.04
208,12.0,20.0,43.0,34.48,3.52,101.04
209,51.0,0.0,46.0,34.46,3.87,101.04
210,83.0,26.0,36.0,34.26,3.7,101.04
211,64.0,3.0,57.0,34.07,3.52,101.04
212,35.0,10.0,69.0,33.83,3.5,101.04
213,81.0,17.0,53.0,33.58,3.48,101.03
214,47.0,15.0,28.0,33.44,3.6,101.02
215,18.0,40.0,38.0,33.31,3.72,101.02
216,54.0,40.0,39.0,33.13,3.88,101.02
217,60.0,18.0,43.0,32.95,4.05,101.02
218,20.0,38.0,63.0,32.82,4.17,101.02
219,39.0,16.0,20.0,32.69,4.29,101.02
220,19.0,17.0,51.0,32.64,4.14,101.02
221,61.0,16.0,50.0,32.59,3.98,101.02
222,40.0,28.0,52.0,32.45,3.94,101.02
223,37.0,4.0,30.0,32.3,3.9,101.03
224,61.0,14.0,61.0,32.16,3.86,101.03
225,70.0,8.0,43.0,32.02,3.82,101.03
226,40.0,43.0,68.0,31.87,3.78,101.04
227,84.0,6.0,33.0,31.73,3.74,101.04
228,60.0,30.0,58.0,31.54,3.86,101.04
229,5.0,29.0,37.0,31.34,3.99,101.04
230,8.0,25.0,66.0,31.15,4.12,101.04
231,58.0,44.0,52.0,30.96,4.24,101.04
232,1.0,27.0,69.0,30.75,4.5,101.04
233,65.0,7.0,35.0,30.54,4.75,101.05
234,50.0,35.0,65.0,30.44,4.79,101.06
235,2.0,15.0,65.0,30.35,4.83,101.06
236,28.0,17.0,57.0,30.13,5.22,101.08
237,56.0,13.0,43.0,29.91,5.61,101.09
238,35.0,29.0,55.0,29.58,6.22,101.1
239,16.0,8.0,57.0,29.24,6.82,101.1
240,90.0,7.0,62.0,29.03,7.38,101.11
241,33.0,44.0,29.0,28.83,7.93,101.12
242,40.0,38.0,58.0,28.68,8.25,101.12
243,75.0,15.0,56.0,28.54,8.56,101.13
244,43.0,41.0,51.0,28.34,9.15,101.14
245,87.0,15.0,54.0,28.14,9.74,101.15
246,90.0,44.0,29.0,28.22,9.64,101.16
247,67.0,27.0,30.0,28.3,9.54,101.17
248,83.0,24.0,46.0,28.09,10.34,101.18
249,85.0,12.0,41.0,27.88,11.15,101.18
250,62.0,23.0,47.0,27.74,11.73,101.18
251,88.0,38.0,46.0,27.61,12.3,101.17
252,10.0,30.0,70.0,27.38,13.09,101.18
253,20.0,39.0,50.0,27.16,13.88,101.19
254,62.0,12.0,51.0,26.84,14.36,101.2
255,50.0,26.0,28.0,26.52,14.83,101.2
256,35.0,45.0,64.0,26.29,14.93,101.21
257,83.0,20.0,53.0,26.06,15.04,101.22
258,5.0,0.0,61.0,25.94,15.08,101.24
259,27.0,12.0,57.0,25.81,15.12,101.25
260,34.0,21.0,37.0,25.73,15.58,101.25
261,32.0,3.0,58.0,25.65,16.05,101.25
262,30.0,28.0,31.0,25.59,16.13,101.25
263,63.0,8.0,20.0,25.53,16.22,101.25
264,61.0,20.0,54.0,25.51,15.56,101.25
265,60.0,36.0,22.0,25.49,14.89,101.25
266,54.0,24.0,41.0,25.63,14.34,101.26
267,71.0,26.0,24.0,25.77,13.78,101.26
268,14.0,45.0,54.0,25.8,13.56,101.26
269,39.0,15.0,21.0,25.82,13.34,101.27
270,40.0,37.0,62.0,25.74,13.36,101.27
271,50.0,1.0,41.0,25.65,13.38,101.27
272,73.0,9.0,34.0,25.64,13.32,101.28
273,37.0,41.0,34.0,25.62,13.25,101.28
274,43.0,0.0,66.0,25.38,14.4,101.28
275,76.0,29.0,44.0,25.15,15.54,101.28
276,53.0,36.0,42.0,25.04,16.4,101.28
277,71.0,9.0,55.0,24.94,17.26,101.28
278,26.0,9.0,65.0,24.83,18.12,101.28
279,12.0,41.0,36.0,24.82,18.26,101.28
280,67.0,13.0,35.0,24.82,18.41,101.28
281,17.0,45.0,53.0,24.84,18.22,101.28
282,26.0,38.0,70.0,24.85,18.02,101.28
283,78.0,39.0,34.0,24.91,17.3,101.28
284,30.0,27.0,57.0,24.97,16.58,101.28
285,20.0,5.0,38.0,24.88,16.43,101.28
286,79.0,28.0,61.0,24.79,16.29,101.29
287,40.0,17.0,42.0,24.66,16.19,101.28
288,10.0,11.0,53.0,24.52,16.09,101.28
289,84.0,8.0,55.0,24.45,15.62,101.28
290,11.0,8.0,32.0,24.38,15.14,101.28
291,63.0,28.0,38.0,24.29,14.94,101.28
292,40.0,2.0,40.0,24.2,14.75,101.28
293,33.0,37.0,34.0,24.11,14.77,101.28
294,75.0,11.0,64.0,24.02,14.79,101.28
295,24.0,30.0,57.0,23.82,15.1,101.28
296,65.0,15.0,53.0,23.62,15.41,101.28
297,35.0,25.0,46.0,23.51,15.27,101.28
298,44.0,15.0,33.0,23.4,15.13,101.28
299,39.0,1.0,45.0,23.33,15.57,101.28
300,13.0,35.0,24.0,23.26,16.0,101.27
301,20.0,45.0,59.0,23.1,18.12,101.26
302,82.0,0.0,65.0,22.94,20.25,101.26
303,72.0,5.0,53.0,22.85,20.45,101.26
304,56.0,30.0,36.0,22.76,20.65,101.26
305,14.0,44.0,26.0,22.56,21.04,101.26
306,25.0,10.0,57.0,22.36,21.44,101.26
307,13.0,6.0,52.0,22.42,20.72,101.25
308,43.0,43.0,37.0,22.47,19.99,101.24
309,62.0,1.0,66.0,22.41,19.48,101.24
310,56.0,36.0,47.0,22.35,18.97,101.24
311,60.0,10.0,25.0,22.46,18.12,101.24
312,89.0,7.0,56.0,22.58,17.26,101.23
313,46.0,23.0,23.0,22.69,16.78,101.22
314,8.0,29.0,32.0,22.8,16.31,101.22
315,13.0,10.0,41.0,22.77,16.06,101.22
316,55.0,35.0,35.0,22.74,15.82,101.21
317,65.0,27.0,44.0,22.6,16.02,101.2
318,34.0,33.0,66.0,22.46,16.22,101.2
319,55.0,17.0,35.0,22.24,16.61,101.2
320,32.0,10.0,40.0,22.03,17.0,101.2
321,60.0,38.0,47.0,21.86,17.4,101.2
322,80.0,21.0,48.0,21.69,17.8,101.21
323,22.0,16.0,39.0,21.44,18.58,101.2
324,2.0,21.0,51.0,21.19,19.35,101.2
325,31.0,8.0,26.0,21.12,20.23,101.2
326,59.0,11.0,50.0,21.04,21.1,101.2
327,27.0,6.0,53.0,21.38,20.2,101.2
328,42.0,40.0,54.0,21.71,19.31,101.19
329,19.0,31.0,68.0,21.76,19.27,101.2
330,37.0,43.0,41.0,21.81,19.23,101.2
331,17.0,16.0,47.0,21.64,19.92,101.2
332,42.0,22.0,62.0,21.46,20.61,101.2
333,90.0,39.0,46.0,21.37,20.76,101.2
334,27.0,9.0,35.0,21.28,20.92,101.2
335,12.0,1.0,40.0,21.33,20.92,101.2
336,26.0,13.0,43.0,21.38,20.92,101.2
337,35.0,19.0,52.0,21.28,21.41,101.2
338,84.0,45.0,36.0,21.19,21.9,101.21
339,44.0,43.0,66.0,21.16,22.01,101.21
340,90.0,28.0,63.0,21.13,22.12,101.21
341,6.0,15.0,40.0,21.02,22.5,101.21
342,70.0,23.0,53.0,20.92,22.88,101.21
343,76.0,18.0,26.0,20.82,23.25,101.21
344,7.0,3.0,61.0,20.71,23.63,101.21
345,87.0,12.0,58.0,20.72,23.19,101.21
346,86.0,33.0,61.0,20.72,22.74,101.21
347,64.0,28.0,46.0,20.73,22.3,101.21
348,15.0,38.0,53.0,20.74,21.86,101.21
349,18.0,44.0,32.0,20.6,22.1,101.22
350,50.0,24.0,29.0,20.46,22.33,101.22
351,36.0,11.0,50.0,20.38,22.6,101.22
352,81.0,32.0,46.0,20.3,22.88,101.22
353,66.0,38.0,22.0,20.22,23.15,101.22
354,86.0,4.0,66.0,20.14,23.42,101.22
355,5.0,0.0,69.0,20.12,23.38,101.22
356,85.0,28.0,61.0,20.09,23.34,101.22
357,14.0,12.0,41.0,20.01,23.66,101.22
358,32.0,34.0,45.0,19.93,23.99,101.22
359,3.0,42.0,23.0,19.85,24.31,101.22
360,20.0,19.0,46.0,19.62,25.28,101.22
361,53.0,12.0,68.0,19.4,26.25,101.23
362,9.0,34.0,47.0,19.21,26.8,101.24
363,6.0,32.0,26.0,19.02,27.36,101.24
364,79.0,8.0,47.0,18.74,28.08,101.24
365,76.0,39.0,27.0,18.45,28.79,101.25
366,77.0,23.0,27.0,18.28,29.61,101.25
367,63.0,45.0,37.0,18.11,30.43,101.25
368,3.0,5.0,42.0,18.01,30.62,101.25
369,40.0,3.0,20.0,17.91,30.8,101.25
370,31.0,20.0,34.0,18.06,29.96,101.26
371,90.0,5.0,49.0,18.22,29.13,101.27
372,8.0,27.0,37.0,18.24,28.95,101.28
373,37.0,1.0,22.0,18.25,28.77,101.29
374,22.0,4.0,65.0,18.24,28.24,101.3
375,70.0,30.0,60.0,18.22,27.7,101.3
376,84.0,32.0,29.0,18.26,27.26,101.3
377,29.0,39.0,53.0,18.3,26.83,101.3
378,18.0,15.0,33.0,18.32,26.9,101.31
379,82.0,11.0,25.0,18.33,26.98,101.32
380,86.0,29.0,48.0,18.34,27.06,101.33
381,12.0,21.0,32.0,18.36,27.13,101.34
382,64.0,11.0,32.0,18.58,26.56,101.34
383,16.0,20.0,32.0,18.8,25.98,101.34
384,47.0,9.0,31.0,19.12,25.23,101.34
385,51.0,16.0,70.0,19.44,24.48,101.35
386,5.0,5.0,23.0,19.71,23.94,101.35
387,90.0,19.0,56.0,19.98,23.4,101.36
388,32.0,0.0,25.0,20.46,22.37,101.36
389,16.0,22.0,70.0,20.94,21.34,101.36
390,42.0,30.0,52.0,21.43,20.3,101.36
391,86.0,32.0,50.0,21.91,19.27,101.36
392,86.0,9.0,69.0,22.48,18.02,101.37
393,80.0,3.0,34.0,23.06,16.76,101.38
394,58.0,43.0,58.0,23.64,15.44,101.38
395,90.0,37.0,40.0,24.22,14.13,101.38
396,78.0,44.0,70.0,24.66,13.18,101.38
397,38.0,26.0,24.0,25.1,12.22,101.38
398,39.0,23.0,45.0,25.65,11.43,101.38
399,9.0,8.0,31.0,26.19,10.64,101.39
400,73.0,37.0,22.0,26.74,9.84,101.4
401,77.0,0.0,50.0,27.3,9.03,101.4
402,16.0,17.0,61.0,27.61,8.72,101.41
403,56.0,37.0,55.0,27.92,8.41,101.42
404,8.0,4.0,37.0,28.06,8.38,101.42
405,27.0,45.0,20.0,28.2,8.34,101.43
406,29.0,8.0,68.0,28.35,8.3,101.43
407,17.0,10.0,64.0,28.49,8.27,101.43
408,60.0,43.0,48.0,28.8,7.94,101.43
409,20.0,15.0,40.0,29.12,7.6,101.43
410,82.0,43.0,39.0,29.65,7.26,101.44
411,59.0,25.0,61.0,30.17,6.91,101.44
412,46.0,13.0,56.0,30.53,6.69,101.45
413,35.0,37.0,30.0,30.9,6.46,101.46
414,67.0,39.0,60.0,31.26,6.24,101.46
415,76.0,37.0,46.0,31.62,6.02,101.47
416,2.0,45.0,59.0,31.62,5.68,101.47
417,20.0,30.0,21.0,31.62,5.33,101.47
418,36.0,29.0,39.0,31.92,5.12,101.47
419,86.0,24.0,42.0,32.21,4.92,101.47
420,7.0,5.0,44.0,32.44,4.72,101.46
421,82.0,34.0,64.0,32.66,4.53,101.46
422,20.0,27.0,27.0,33.02,4.32,101.46
423,65.0,27.0,34.0,33.38,4.11,101.45
424,32.0,11.0,53.0,33.16,4.11,101.44
425,72.0,7.0,32.0,32.94,4.11,101.44
426,73.0,44.0,39.0,33.2,4.08,101.44
427,8.0,32.0,48.0,33.45,4.05,101.43
428,7.0,31.0,39.0,33.65,3.86,101.42
429,58.0,17.0,60.0,33.84,3.67,101.41
430,68.0,12.0,25.0,34.03,3.66,101.4
431,65.0,37.0,58.0,34.22,3.66,101.4
432,31.0,37.0,29.0,34.36,3.56,101.39
433,54.0,42.0,44.0,34.51,3.45,101.38
434,12.0,32.0,56.0,34.57,3.29,101.36
435,78.0,37.0,54.0,34.63,3.13,101.35
436,72.0,16.0,30.0,34.75,3.02,101.34
437,17.0,33.0,69.0,34.86,2.91,101.34
438,11.0,41.0,23.0,34.76,2.93,101.33
439,64.0,9.0,26.0,34.66,2.95,101.32
440,72.0,44.0,24.0,34.74,2.76,101.31
441,22.0,18.0,57.0,34.81,2.58,101.3
442,36.0,38.0,31.0,34.3,2.76,101.29
443,18.0,17.0,40.0,33.8,2.94,101.28
444,84.0,42.0,67.0,33.34,3.16,101.27
445,21.0,45.0,55.0,32.89,3.38,101.26
446,56.0,20.0,33.0,32.86,3.64,101.25
447,73.0,4.0,67.0,32.83,3.91,101.24
448,79.0,21.0,63.0,33.33,3.63,101.24
449,56.0,27.0,25.0,33.82,3.35,101.23
450,82.0,43.0,59.0,33.83,3.38,101.22
451,77.0,42.0,42.0,33.83,3.41,101.21
452,79.0,16.0,58.0,34.0,3.35,101.2
453,10.0,44.0,38.0,34.18,3.29,101.2
454,57.0,6.0,28.0,34.48,3.23,101.19
455,68.0,17.0,62.0,34.77,3.17,101.18
456,46.0,1.0,58.0,34.58,3.02,101.18
457,83.0,16.0,31.0,34.38,2.88,101.17
458,26.0,23.0,60.0,34.13,3.16,101.16
459,78.0,24.0,45.0,33.88,3.43,101.15
460,7.0,29.0,48.0,34.12,3.4,101.15
461,48.0,2.0,52.0,34.37,3.37,101.14
462,34.0,0.0,33.0,34.07,3.49,101.13
463,48.0,3.0,36.0,33.77,3.6,101.12
464,5.0,27.0,29.0,33.76,3.53,101.12
465,15.0,36.0,37.0,33.76,3.46,101.11
466,48.0,2.0,59.0,33.76,3.39,101.1
467,48.0,41.0,21.0,33.75,3.32,101.1
468,74.0,24.0,25.0,33.55,3.34,101.09
469,10.0,42.0,35.0,33.35,3.36,101.08
470,23.0,0.0,58.0,33.39,3.13,101.08
471,35.0,3.0,53.0,33.42,2.9,101.08
472,74.0,3.0,42.0,33.54,3.06,101.07
473,17.0,16.0,57.0,33.67,3.21,101.07
474,37.0,4.0,31.0,33.72,3.3,101.07
475,77.0,6.0,59.0,33.77,3.39,101.07
476,44.0,2.0,53.0,33.77,3.53,101.06
477,62.0,8.0,55.0,33.77,3.66,101.06
478,70.0,24.0,41.0,33.76,3.35,101.05
479,19.0,2.0,27.0,33.74,3.04,101.04
480,9.0,44.0,66.0,33.72,3.22,101.04
481,50.0,35.0,37.0,33.7,3.41,101.04
482,65.0,41.0,63.0,33.67,3.6,101.03
483,9.0,24.0,20.0,33.65,3.78,101.03
484,42.0,10.0,35.0,33.45,3.68,101.03
485,22.0,17.0,69.0,33.25,3.58,101.02
486,57.0,17.0,55.0,33.04,3.49,101.02
487,25.0,44.0,25.0,32.84,3.39,101.02
488,25.0,34.0,51.0,32.75,3.4,101.02
489,16.0,16.0,52.0,32.66,3.4,101.02
490,79.0,45.0,27.0,32.56,3.4,101.02
491,84.0,7.0,25.0,32.47,3.41,101.02
492,2.0,31.0,29.0,32.38,3.42,101.01
493,33.0,26.0,28.0,32.29,3.42,101.01
494,80.0,29.0,31.0,32.19,3.42,101.01
495,86.0,34.0,36.0,32.1,3.43,101.01
496,30.0,24.0,60.0,31.95,3.66,101.01
497,86.0,27.0,46.0,31.8,3.89,101.02
498,1.0,18.0,37.0,31.66,4.12,101.02
499,45.0,7.0,26.0,31.51,4.34,101.02
500,53.0,6.0,20.0,31.36,4.57,101.03
501,39.0,34.0,34.0,31.21,4.8,101.03
502,2.0,20.0,24.0,30.98,5.4,101.02
503,50.0,23.0,24.0,30.76,6.0,101.02
504,41.0,5.0,60.0,30.55,5.78,101.02
505,76.0,7.0,25.0,30.34,5.56,101.03
506,11.0,7.0,30.0,30.18,5.58,101.03
507,59.0,5.0,44.0,30.02,5.61,101.03
508,80.0,43.0,33.0,29.8,5.9,101.04
509,21.0,36.0,35.0,29.58,6.19,101.04
510,37.0,16.0,25.0,29.35,6.48,101.05
511,20.0,35.0,59.0,29.13,6.77,101.06
512,74.0,7.0,43.0,28.82,7.57,101.06
513,52.0,19.0,34.0,28.52,8.37,101.06
514,17.0,26.0,66.0,28.24,8.67,101.06
515,20.0,37.0,45.0,27.97,8.97,101.07
516,31.0,2.0,22.0,27.86,8.16,101.07
517,5.0,43.0,23.0,27.76,7.35,101.07
518,61.0,1.0,32.0,27.68,6.88,101.07
519,70.0,35.0,29.0,27.61,6.41,101.07
520,62.0,28.0,39.0,27.42,6.67,101.06
521,55.0,40.0,33.0,27.23,6.93,101.06
522,65.0,14.0,56.0,26.97,7.48,101.06
523,83.0,33.0,59.0,26.71,8.02,101.06
524,52.0,7.0,47.0,26.63,8.32,101.07
525,40.0,44.0,58.0,26.55,8.63,101.08
526,87.0,0.0,69.0,26.44,8.72,101.08
527,77.0,17.0,20.0,26.32,8.81,101.09
528,74.0,7.0,50.0,26.12,9.0,101.1
529,36.0,14.0,55.0,25.93,9.18,101.11
530,3.0,1.0,32.0,25.96,9.11,101.12
531,12.0,42.0,53.0,26.0,9.04,101.13
532,54.0,26.0,33.0,26.05,8.93,101.14
533,32.0,45.0,54.0,26.1,8.81,101.14
